Location,Name,Description,Area,Beds,Baths,Price
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 1 bedroom Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 85 m2 with 1 bathroom with a garden of 42 m2.,85,1,1,"23,728,000 
              EGP"
New Cairo,"Townhouse, Jade Hills - City Gate",A 4 bedrooms Townhouse in Jade Hills - City Gate by Qatari Diar. The Townhouse size is 218 m2 with 4 bathrooms.,218,4,4,"24,930,000 
              EGP"
New Heliopolis,"Apartment, Rosewood",A 3 bedrooms Apartment in Rosewood by SODIC. The Apartment size is 183 m2 with 3 bathrooms with a garden of 223 m2.,183,3,3,"25,903,000 
              EGP"
Golden Square,"Apartment, Sky Condos",A 2 bedrooms Apartment in Sky Condos by SODIC. The Apartment size is 159 m2 with 3 bathrooms and a terrace of 17 m2.,159,3,3,"26,270,400 
              EGP"
Sidi Heneish,"Apartment, Crystalline - Silversands",A 2 bedrooms Apartment in Crystalline - Silversands  by Ora Developers. The Apartment size is 158 m2 with 3 bathrooms and a terrace of 10 m2.,158,3,3,"26,379,000 
              EGP"
El Sheikh Zayed,"Apartment, Zed Tower",A 2 bedrooms Apartment in Zed Tower by Ora Developers. The Apartment size is 129 m2 with 2 bathrooms.,129,2,2,"27,800,000 
              EGP"
New Heliopolis,"Apartment, Hazel - Sodic East",A 3 bedrooms Apartment in Hazel - Sodic East  by SODIC. The Apartment size is 183 m2 with 3 bathrooms with a garden of 248 m2.,183,3,3,"28,980,000 
              EGP"
New Cairo,"Apartment, The Emerald Collection - Zed East",A 3 bedrooms Apartment in The Emerald Collection - Zed East  by Ora Developers. The Apartment size is 174 m2 with 3 bathrooms with a garden of 370 m2.,174,3,3,"29,008,000 
              EGP"
October Gardens,"Villa, District 1 - DAE",A 4 bedrooms Villa in District 1 - DAE by Palm Hills Developments. The Villa size is 279 m2 with 6 bathrooms.,279,6,6,"29,541,000 
              EGP"
October Gardens,"Villa, ZOE Extension",A 4 bedrooms Villa in ZOE Extension by Palm Hills Developments. The Villa size is 275 m2 with 3 bathrooms.,275,3,3,"29,732,000 
              EGP"
Ain Sokhna,"Penthouse, M Residence",A 3 bedrooms Penthouse in M Residence by Tatweer Misr. The Penthouse size is 225 m2 with 4 bathrooms and a terrace of 71 m2.,225,4,4,"30,122,000 
              EGP"
New Heliopolis,"Villa, Meadows-Sodic East",A 3 bedrooms Villa in Meadows-Sodic East by SODIC. The Villa size is 208 m2 with 4 bathrooms with a garden of 362 m2.,208,4,4,"34,460,000 
              EGP"
Sidi Heneish,"Townhouse, Acclaro - Silversands",A 3 bedrooms Townhouse in Acclaro - Silversands by Ora Developers. The Townhouse size is 149 m2 with 2 bathrooms and a terrace of 13 m2.,149,2,2,"38,535,000 
              EGP"
Ras El Hekma,"Villa, Saltshore - Salt",A 3 bedrooms Villa in Saltshore - Salt by Tatweer Misr. The Villa size is 180 m2 with 4 bathrooms.,180,4,4,"39,972,000 
              EGP"
Ras El Hekma,"Villa, Ciano Lagoon",A 4 bedrooms Villa in Ciano Lagoon  by Misr Italia Properties. The Villa size is 271 m2 with 5 bathrooms.,271,5,5,"40,300,000 
              EGP"
New Cairo,"Villa, Lagoon Beach Park Mountain View I City New Cairo",A 3 bedrooms Villa in Lagoon Beach Park Mountain View I City New Cairo by Mountain View. The Villa size is 280 m2 with 3 bathrooms with a garden of 261 m2.,280,3,3,"46,086,047 
              EGP"
New Heliopolis,"Villa, Orchid",A 4 bedrooms Villa in Orchid by SODIC. The Villa size is 340 m2 with 5 bathrooms and a roof of 85 m2.,340,5,5,"51,760,000 
              EGP"
Ras El Hekma,"Villa, Pearl-June",A 5 bedrooms Villa in Pearl-June by SODIC. The Villa size is 257 m2 with 4 bathrooms with a garden of 231 m2.,257,4,4,"66,936,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 4 bedrooms Villa in Opal-June by SODIC. The Villa size is 267 m2 with 5 bathrooms with a garden of 154 m2.,267,5,5,"75,769,000 
              EGP"
Ras El Hekma,"Penthouse, Hilltop Chalets - Solare",A 2 bedrooms Penthouse in Hilltop Chalets - Solare by Misr Italia Properties. The Penthouse size is 144 m2 with 1 bathroom.,144,1,1,"12,500,000 
              EGP"
October Gardens,"Apartment, District 1 - Boulevard",A 4 bedrooms Apartment in District 1 - Boulevard  by Palm Hills Developments. The Apartment size is 252 m2 with 4 bathrooms.,252,4,4,"19,005,504 
              EGP"
October Gardens,"Apartment, Midyard",A 1 bedroom Apartment in Midyard by Orascom Development Egypt. The Apartment size is 82 m2 with 1 bathroom with a garden of 56 m2.,82,1,1,"11,343,000 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 2 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 110 m2 with 2 bathrooms with a garden of 55 m2.,110,2,2,"19,932,000 
              EGP"
Ain Sokhna,"Cabin, M Residence",A  Cabin in M Residence by Tatweer Misr. The Cabin size is 45 m2 with 1 bathroom.,45,1,1,"6,573,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 2 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 129 m2 with 3 bathrooms.,129,3,3,"7,400,000 
              EGP"
October Gardens,"Apartment, Core",A 1 bedroom Apartment in Core by Orascom Development Egypt. The Apartment size is 84 m2 with 1 bathroom with a garden of 35 m2.,84,1,1,"8,141,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 2 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 94 m2 with 3 bathrooms.,94,3,3,"8,668,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathroom.,70,1,1,"9,386,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 150 m2 with 3 bathrooms.,150,3,3,"10,219,125 
              EGP"
October Gardens,"Apartment, District 6 - The Village",A 2 bedrooms Apartment in District 6 - The Village by Palm Hills Developments. The Apartment size is 109 m2 with 2 bathrooms with a garden of 27 m2.,109,2,2,"10,384,997 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 113 m2 with 3 bathrooms and a roof of 28 m2.,113,3,3,"10,953,290 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 125 m2 with 3 bathrooms.,125,3,3,"11,051,060 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 2 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 107 m2 with 2 bathrooms.,107,2,2,"11,100,000 
              EGP"
October Gardens,"Apartment, District 6 - Blu",A 2 bedrooms Apartment in District 6 - Blu  by Palm Hills Developments. The Apartment size is 131 m2 with 3 bathrooms.,131,3,3,"11,607,522 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 107 m2 with 2 bathrooms with a garden of 46 m2.,107,2,2,"12,010,000 
              EGP"
El Sheikh Zayed,"Apartment, The Village Views",A  Apartment in The Village Views by Ora Developers. The Apartment size is 98 m2 with 1 bathroom and a terrace of 10 m2.,98,1,1,"12,301,000 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 129 m2 with 3 bathrooms.,129,3,3,"12,382,000 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 1 bedroom Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 70 m2 with 1 bathroom with a garden of 30 m2.,70,1,1,"12,882,000 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 2 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 125 m2 with 2 bathrooms with a garden of 65 m2.,125,2,2,"13,086,041 
              EGP"
Golden Square,"Apartment, V Residences By Villette",A 1 bedroom Apartment in V Residences By Villette by SODIC. The Apartment size is 83 m2 with 2 bathrooms.,83,2,2,"15,524,000 
              EGP"
New Capital City,"Duplex, THE MEADOWS  Il Bosco",A 3 bedrooms Duplex in THE MEADOWS  Il Bosco  by Misr Italia Properties. The Duplex size is 220 m2 with 3 bathrooms.,325,3,3,"15,900,000 
              EGP"
Mostakbal City,"Office, Coflow",A  Office in Coflow  by Tatweer Misr. The Office size is 125 m2.,125,,,"16,053,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 1 bedroom Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 73 m2 with 1 bathroom and a terrace of 8 m2.,73,1,1,"16,615,200 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 75 m2.,75,,,"16,773,000 
              EGP"
6th of October City,"Apartment, Lagoon Beach Park Mountain View I-City October",A 3 bedrooms Apartment in Lagoon Beach Park Mountain View I-City October by Mountain View. The Apartment size is 165 m2 with 3 bathrooms with a garden of 278 m2.,165,3,3,"16,846,105 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 2 bedrooms Apartment in Plateau  District 5 by Marakez. The Apartment size is 125 m2 with 3 bathrooms.,125,3,3,"17,059,000 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 2 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 126 m2 with 3 bathrooms.,126,3,3,"17,315,000 
              EGP"
New Cairo,"Apartment, MV Park - ICity New Cairo",A 3 bedrooms Apartment in MV Park - ICity New Cairo by Mountain View. The Apartment size is 160 m2 with 3 bathrooms with a garden of 100 m2.,160,3,3,"18,094,972 
              EGP"
El Sheikh Zayed,"Apartment, Park Side Residences",A 2 bedrooms Apartment in Park Side Residences by Ora Developers. The Apartment size is 134 m2 with 3 bathrooms and a terrace of 11 m2.,134,3,3,"19,022,000 
              EGP"
October Gardens,"Apartment, Green Valley",A 3 bedrooms Apartment in Green Valley by Orascom Development Egypt. The Apartment size is 160 m2 with 4 bathrooms with a garden of 200 m2.,160,4,4,"19,876,000 
              EGP"
6th settlement,"Apartment, Club residence",A 2 bedrooms Apartment in Club residence by Ora Developers. The Apartment size is 145 m2 with 3 bathrooms and a terrace of 16 m2.,145,3,3,"20,409,900 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 2 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 107 m2 with 2 bathrooms.,107,2,2,"21,539,000 
              EGP"
October Gardens,"Villa, District 2  - Ella Extension",A 3 bedrooms Villa in District 2  - Ella Extension  by Palm Hills Developments. The Villa size is 205 m2 with 5 bathrooms and a roof of 48 m2.,205,5,5,"23,239,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 3 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 205 m2 with 5 bathrooms and a roof of 48 m2.,205,5,5,"23,701,000 
              EGP"
October Gardens,"Villa, Jade Extension",A 3 bedrooms Villa in Jade Extension by Palm Hills Developments. The Villa size is 239 m2 with 5 bathrooms and a roof of 37 m2.,239,5,5,"23,931,000 
              EGP"
October Gardens,"Villa, District 2 - Ella",A 3 bedrooms Villa in District 2 - Ella by Palm Hills Developments. The Villa size is 245 m2 with 5 bathrooms and a roof of 48 m2.,245,5,5,"24,013,000 
              EGP"
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 1 bedroom Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 104 m2 with 1 bathroom and a terrace of 16 m2.,104,1,1,"25,002,000 
              EGP"
South New Cairo,"Office, Campus District 5",A  Office in Campus District 5 by Marakez. The Office size is 102 m2.,102,,,"25,627,000 
              EGP"
New Cairo,"Duplex, The Emerald Collection - Zed East",A 3 bedrooms Duplex in The Emerald Collection - Zed East  by Ora Developers. The Duplex size is 215 m2 with 3 bathrooms and a roof of 145 m2.,215,3,3,"25,824,000 
              EGP"
October Gardens,"Apartment, District 1 - Rae",A 3 bedrooms Apartment in District 1 - Rae by Palm Hills Developments. The Apartment size is 245 m2 with 3 bathrooms and a roof of 180 m2.,245,3,3,"25,853,567 
              EGP"
Ras El Hekma,"Twinhouse, Ciano Lagoon",A 4 bedrooms Twinhouse in Ciano Lagoon  by Misr Italia Properties. The Twinhouse size is 188 m2 with 4 bathrooms.,188,4,4,"27,200,000 
              EGP"
Golden Square,"Apartment, Sky Condos",A 3 bedrooms Apartment in Sky Condos by SODIC. The Apartment size is 181 m2 with 3 bathrooms.,181,3,3,"28,785,000 
              EGP"
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 1 bedroom Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 94 m2 with 1 bathroom with a garden of 46 m2.,94,1,1,"31,324,000 
              EGP"
New Heliopolis,"Villa, Rosewood",A 3 bedrooms Villa in Rosewood by SODIC. The Villa size is 237 m2 with 4 bathrooms and a roof of 78 m2.,237,4,4,"36,409,000 
              EGP"
New Heliopolis,"Villa, Meadows-Sodic East",A 3 bedrooms Villa in Meadows-Sodic East by SODIC. The Villa size is 232 m2 with 4 bathrooms with a garden of 302 m2.,232,4,4,"38,688,000 
              EGP"
New Heliopolis,"Villa, Hazel - Sodic East",A 3 bedrooms Villa in Hazel - Sodic East  by SODIC. The Villa size is 237 m2 with 4 bathrooms with a garden of 382 m2.,237,4,4,"40,573,000 
              EGP"
El Sheikh Zayed,"Apartment, Zed Tower",A 2 bedrooms Apartment in Zed Tower by Ora Developers. The Apartment size is 188 m2 with 3 bathrooms.,188,3,3,"41,500,000 
              EGP"
Sidi Heneish,"Townhouse, Acclaro - Silversands",A 3 bedrooms Townhouse in Acclaro - Silversands by Ora Developers. The Townhouse size is 169 m2 with 4 bathrooms and a terrace of 16 m2.,169,4,4,"42,607,000 
              EGP"
Ras El Hekma,"Twinhouse, Pearl-June",A 4 bedrooms Twinhouse in Pearl-June by SODIC. The Twinhouse size is 221 m2 with 4 bathrooms with a garden of 288 m2.,221,4,4,"47,343,000 
              EGP"
Ras El Hekma,"Villa, Saltshore - Salt",A 3 bedrooms Villa in Saltshore - Salt by Tatweer Misr. The Villa size is 250 m2 with 4 bathrooms.,250,4,4,"56,146,000 
              EGP"
New Heliopolis,"Villa, Orchid",A 5 bedrooms Villa in Orchid by SODIC. The Villa size is 395 m2 with 6 bathrooms and a roof of 121 m2.,395,6,6,"63,151,000 
              EGP"
Sidi Heneish,"Villa, Crystalline - Silversands",A 4 bedrooms Villa in Crystalline - Silversands  by Ora Developers. The Villa size is 232 m2 with 3 bathrooms and a terrace of 32 m2.,232,3,3,"70,224,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 3 bedrooms Villa in Opal-June by SODIC. The Villa size is 239 m2 with 3 bathrooms with a garden of 115 m2.,239,3,3,"78,499,000 
              EGP"
Ras El Hekma,"Penthouse, Hilltop Chalets - Solare",A 3 bedrooms Penthouse in Hilltop Chalets - Solare by Misr Italia Properties. The Penthouse size is 176 m2 with 2 bathrooms.,176,2,2,"15,600,000 
              EGP"
Mostakbal City,"Clinic, Coflow",A  Clinic in Coflow  by Tatweer Misr. The Clinic size is 45 m2.,45,,,"6,906,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 2 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 126 m2 with 2 bathrooms with a garden of 33 m2.,126,2,2,"7,500,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathroom.,70,1,1,"9,469,000 
              EGP"
October Gardens,"Apartment, Core",A 2 bedrooms Apartment in Core by Orascom Development Egypt. The Apartment size is 108 m2 with 2 bathrooms.,108,2,2,"10,396,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 160 m2 with 3 bathrooms.,160,3,3,"10,398,442 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 2 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 115 m2 with 3 bathrooms.,115,3,3,"10,533,000 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 124 m2 with 3 bathrooms.,124,3,3,"11,113,060 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 121 m2 with 3 bathrooms and a roof of 21 m2.,121,3,3,"11,419,165 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 2 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 107 m2 with 2 bathrooms with a garden of 46 m2.,107,2,2,"11,600,000 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 125 m2 with 3 bathrooms.,125,3,3,"12,523,000 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 135 m2 with 3 bathrooms.,135,3,3,"12,660,000 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 1 bedroom Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 80 m2 with 1 bathroom.,80,1,1,"13,110,000 
              EGP"
October Gardens,"Apartment, Midyard",A 2 bedrooms Apartment in Midyard by Orascom Development Egypt. The Apartment size is 116 m2 with 2 bathrooms.,116,2,2,"13,420,000 
              EGP"
October Gardens,"Apartment, District 6 - Blu",A 3 bedrooms Apartment in District 6 - Blu  by Palm Hills Developments. The Apartment size is 154 m2 with 3 bathrooms.,154,3,3,"13,457,202 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 2 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 110 m2 with 2 bathrooms with a garden of 107 m2.,110,2,2,"14,050,639 
              EGP"
El Sheikh Zayed,"Apartment, The Village Views",A 2 bedrooms Apartment in The Village Views by Ora Developers. The Apartment size is 125 m2 with 3 bathrooms and a terrace of 62 m2.,125,3,3,"15,517,000 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 80 m2 and a terrace of 8 m2.,80,,,"17,564,000 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 2 bedrooms Apartment in Plateau  District 5 by Marakez. The Apartment size is 125 m2 with 3 bathrooms and a roof of 17 m2.,125,3,3,"17,832,000 
              EGP"
6th of October City,"Apartment, Lagoon Beach Park Mountain View I-City October",A 3 bedrooms Apartment in Lagoon Beach Park Mountain View I-City October by Mountain View. The Apartment size is 180 m2 with 3 bathrooms.,180,3,3,"18,734,269 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 2 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 132 m2 with 3 bathrooms with a garden of 107 m2.,132,3,3,"20,410,000 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 3 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 133 m2 with 2 bathrooms.,133,2,2,"20,466,000 
              EGP"
El Sheikh Zayed,"Apartment, Park Side Residences",A 2 bedrooms Apartment in Park Side Residences by Ora Developers. The Apartment size is 126 m2 with 3 bathrooms with a garden of 61 m2.,126,3,3,"20,593,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 1 bedroom Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 100 m2 with 1 bathroom and a terrace of 8 m2.,100,1,1,"20,732,250 
              EGP"
Golden Square,"Apartment, V Residences By Villette",A 1 bedroom Apartment in V Residences By Villette by SODIC. The Apartment size is 109 m2 with 2 bathrooms.,109,2,2,"21,203,000 
              EGP"
6th settlement,"Apartment, Club residence",A 2 bedrooms Apartment in Club residence by Ora Developers. The Apartment size is 129 m2 with 3 bathrooms with a garden of 57 m2.,129,3,3,"21,544,950 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 2 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 149 m2 with 2 bathrooms and a terrace of 36 m2.,149,2,2,"23,349,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 3 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 245 m2 with 5 bathrooms and a roof of 48 m2.,245,5,5,"24,465,000 
              EGP"
October Gardens,"Villa, Jade Extension",A 3 bedrooms Villa in Jade Extension by Palm Hills Developments. The Villa size is 199 m2 with 5 bathrooms.,199,5,5,"25,004,000 
              EGP"
Ras El Hekma,"Townhouse, Ciano Lagoon",A 3 bedrooms Townhouse in Ciano Lagoon  by Misr Italia Properties. The Townhouse size is 174 m2 with 3 bathrooms.,174,3,3,"25,200,000 
              EGP"
New Cairo,"Duplex, The Emerald Collection - Zed East",A 3 bedrooms Duplex in The Emerald Collection - Zed East  by Ora Developers. The Duplex size is 207 m2 with 3 bathrooms with a garden of 101 m2.,207,3,3,"27,866,000 
              EGP"
October Gardens,"Villa, District 2  - Ella Extension",A 4 bedrooms Villa in District 2  - Ella Extension  by Palm Hills Developments. The Villa size is 275 m2 with 6 bathrooms.,275,6,6,"29,160,000 
              EGP"
October Gardens,"Villa, District 2 - Ella",A 4 bedrooms Villa in District 2 - Ella by Palm Hills Developments. The Villa size is 315 m2 with 6 bathrooms and a roof of 83 m2.,315,6,6,"29,460,000 
              EGP"
Golden Square,"Apartment, Sky Condos",A 3 bedrooms Apartment in Sky Condos by SODIC. The Apartment size is 190 m2 with 3 bathrooms and a terrace of 30 m2.,190,3,3,"30,216,000 
              EGP"
South New Cairo,"Office, Campus District 5",A  Office in Campus District 5 by Marakez. The Office size is 118 m2.,118,,,"30,301,000 
              EGP"
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 2 bedrooms Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 149 m2 with 3 bathrooms and a terrace of 24 m2.,149,3,3,"30,644,000 
              EGP"
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 2 bedrooms Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 116 m2 with 2 bathrooms.,116,2,2,"33,900,000 
              EGP"
October Gardens,"Villa, Green Valley",A 4 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 263 m2 with 3 bathrooms with a garden of 404 m2.,263,3,3,"42,983,000 
              EGP"
New Heliopolis,"Villa, Rosewood",A 4 bedrooms Villa in Rosewood by SODIC. The Villa size is 326 m2 with 5 bathrooms and a roof of 103 m2.,326,5,5,"46,754,000 
              EGP"
New Heliopolis,"Villa, Meadows-Sodic East",A 4 bedrooms Villa in Meadows-Sodic East by SODIC. The Villa size is 300 m2 with 6 bathrooms with a garden of 287 m2.,300,6,6,"47,494,000 
              EGP"
Ras El Hekma,"Twinhouse, Pearl-June",A 5 bedrooms Twinhouse in Pearl-June by SODIC. The Twinhouse size is 237 m2 with 5 bathrooms with a garden of 265 m2.,237,5,5,"50,045,000 
              EGP"
Sidi Heneish,"Townhouse, Acclaro - Silversands",A 4 bedrooms Townhouse in Acclaro - Silversands by Ora Developers. The Townhouse size is 207 m2 with 5 bathrooms and a terrace of 16 m2.,207,5,5,"51,631,000 
              EGP"
New Heliopolis,"Villa, Hazel - Sodic East",A 4 bedrooms Villa in Hazel - Sodic East  by SODIC. The Villa size is 326 m2 with 5 bathrooms with a garden of 467 m2.,326,5,5,"54,357,000 
              EGP"
New Heliopolis,"Villa, Orchid",A 5 bedrooms Villa in Orchid by SODIC. The Villa size is 427 m2 with 6 bathrooms and a roof of 153 m2.,427,6,6,"67,980,000 
              EGP"
Ras El Hekma,"Villa, Saltshore - Salt",A 4 bedrooms Villa in Saltshore - Salt by Tatweer Misr. The Villa size is 220 m2 with 5 bathrooms.,220,5,5,"73,963,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 5 bedrooms Villa in Opal-June by SODIC. The Villa size is 346 m2 with 6 bathrooms with a garden of 232 m2.,346,6,6,"87,309,000 
              EGP"
Sidi Heneish,"Villa, Crystalline - Silversands",A 5 bedrooms Villa in Crystalline - Silversands  by Ora Developers. The Villa size is 346 m2 with 5 bathrooms and a terrace of 48 m2.,346,5,5,"124,967,000 
              EGP"
Ras El Hekma,"Penthouse, Hilltop Chalets - Solare",A 2 bedrooms Penthouse in Hilltop Chalets - Solare by Misr Italia Properties. The Penthouse size is 182 m2 with 1 bathroom.,182,1,1,"17,100,000 
              EGP"
October Gardens,"Apartment, Core",A 3 bedrooms Apartment in Core by Orascom Development Egypt. The Apartment size is 155 m2 with 3 bathrooms.,155,3,3,"13,825,000 
              EGP"
October Gardens,"Villa, Green Valley",A 4 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 336 m2 with 5 bathrooms with a garden of 301 m2.,336,5,5,"49,471,000 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 3 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 131 m2 with 2 bathrooms with a garden of 68 m2.,131,2,2,"23,816,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 3 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 144 m2 with 3 bathrooms.,144,3,3,"7,800,000 
              EGP"
Mostakbal City,"Clinic, Coflow",A  Clinic in Coflow  by Tatweer Misr. The Clinic size is 65 m2.,65,,,"9,974,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathroom with a garden of 29 m2.,70,1,1,"10,419,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 160 m2 with 3 bathrooms.,160,3,3,"11,074,868 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 119 m2 with 3 bathrooms and a roof of 21 m2.,119,3,3,"11,306,300 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 131 m2 with 3 bathrooms.,131,3,3,"11,623,522 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 141 m2 with 3 bathrooms.,141,3,3,"12,542,000 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 135 m2 with 3 bathrooms.,135,3,3,"13,350,000 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 2 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 144 m2 with 3 bathrooms.,144,3,3,"13,800,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 3 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 137 m2 with 3 bathrooms with a garden of 174 m2.,137,3,3,"13,897,000 
              EGP"
October Gardens,"Apartment, Midyard",A 2 bedrooms Apartment in Midyard by Orascom Development Egypt. The Apartment size is 124 m2 with 2 bathrooms.,124,2,2,"14,380,000 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 3 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 170 m2 with 3 bathrooms.,170,3,3,"14,516,942 
              EGP"
