Location,Name,Description,Area,Beds,Baths,Price
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 2 bedrooms Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 116 m2 with 2 bathrooms.,116,2,2,"33,900,000 
              EGP"
October Gardens,"Villa, Green Valley",A 4 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 263 m2 with 3 bathrooms with a garden of 404 m2.,263,3,3,"42,983,000 
              EGP"
New Heliopolis,"Villa, Rosewood",A 4 bedrooms Villa in Rosewood by SODIC. The Villa size is 326 m2 with 5 bathrooms and a roof of 103 m2.,326,5,5,"46,754,000 
              EGP"
New Heliopolis,"Villa, Meadows-Sodic East",A 4 bedrooms Villa in Meadows-Sodic East by SODIC. The Villa size is 300 m2 with 6 bathrooms with a garden of 287 m2.,300,6,6,"47,494,000 
              EGP"
Ras El Hekma,"Twinhouse, Pearl-June",A 5 bedrooms Twinhouse in Pearl-June by SODIC. The Twinhouse size is 237 m2 with 5 bathrooms with a garden of 265 m2.,237,5,5,"50,045,000 
              EGP"
Sidi Heneish,"Townhouse, Acclaro - Silversands",A 4 bedrooms Townhouse in Acclaro - Silversands by Ora Developers. The Townhouse size is 207 m2 with 5 bathrooms and a terrace of 16 m2.,207,5,5,"51,631,000 
              EGP"
New Heliopolis,"Villa, Hazel - Sodic East",A 4 bedrooms Villa in Hazel - Sodic East  by SODIC. The Villa size is 326 m2 with 5 bathrooms with a garden of 467 m2.,326,5,5,"54,357,000 
              EGP"
New Heliopolis,"Villa, Orchid",A 5 bedrooms Villa in Orchid by SODIC. The Villa size is 427 m2 with 6 bathrooms and a roof of 153 m2.,427,6,6,"67,980,000 
              EGP"
Ras El Hekma,"Villa, Saltshore - Salt",A 4 bedrooms Villa in Saltshore - Salt by Tatweer Misr. The Villa size is 220 m2 with 5 bathrooms.,220,5,5,"73,963,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 5 bedrooms Villa in Opal-June by SODIC. The Villa size is 346 m2 with 6 bathrooms with a garden of 232 m2.,346,6,6,"87,309,000 
              EGP"
Sidi Heneish,"Villa, Crystalline - Silversands",A 5 bedrooms Villa in Crystalline - Silversands  by Ora Developers. The Villa size is 346 m2 with 5 bathrooms and a terrace of 48 m2.,346,5,5,"124,967,000 
              EGP"
Ras El Hekma,"Penthouse, Hilltop Chalets - Solare",A 2 bedrooms Penthouse in Hilltop Chalets - Solare by Misr Italia Properties. The Penthouse size is 182 m2 with 1 bathroom.,182,1,1,"17,100,000 
              EGP"
October Gardens,"Apartment, Core",A 3 bedrooms Apartment in Core by Orascom Development Egypt. The Apartment size is 155 m2 with 3 bathrooms.,155,3,3,"13,825,000 
              EGP"
October Gardens,"Villa, Green Valley",A 4 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 336 m2 with 5 bathrooms with a garden of 301 m2.,336,5,5,"49,471,000 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 3 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 131 m2 with 2 bathrooms with a garden of 68 m2.,131,2,2,"23,816,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 3 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 144 m2 with 3 bathrooms.,144,3,3,"7,800,000 
              EGP"
Mostakbal City,"Clinic, Coflow",A  Clinic in Coflow  by Tatweer Misr. The Clinic size is 65 m2.,65,,,"9,974,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathroom with a garden of 29 m2.,70,1,1,"10,419,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 160 m2 with 3 bathrooms.,160,3,3,"11,074,868 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 119 m2 with 3 bathrooms and a roof of 21 m2.,119,3,3,"11,306,300 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 131 m2 with 3 bathrooms.,131,3,3,"11,623,522 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 141 m2 with 3 bathrooms.,141,3,3,"12,542,000 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 135 m2 with 3 bathrooms.,135,3,3,"13,350,000 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 2 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 144 m2 with 3 bathrooms.,144,3,3,"13,800,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 3 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 137 m2 with 3 bathrooms with a garden of 174 m2.,137,3,3,"13,897,000 
              EGP"
October Gardens,"Apartment, Midyard",A 2 bedrooms Apartment in Midyard by Orascom Development Egypt. The Apartment size is 124 m2 with 2 bathrooms.,124,2,2,"14,380,000 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 3 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 170 m2 with 3 bathrooms.,170,3,3,"14,516,942 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 2 bedrooms Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 100 m2 with 2 bathrooms.,100,2,2,"15,867,000 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 3 bedrooms Apartment in Plateau  District 5 by Marakez. The Apartment size is 160 m2 with 3 bathrooms.,160,3,3,"17,913,000 
              EGP"
October Gardens,"Townhouse, District 2 - Ella",A 3 bedrooms Townhouse in District 2 - Ella by Palm Hills Developments. The Townhouse size is 190 m2 with 3 bathrooms.,190,3,3,"17,936,000 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 89 m2.,89,,,"19,472,000 
              EGP"
El Sheikh Zayed,"Apartment, The Village Views",A 2 bedrooms Apartment in The Village Views by Ora Developers. The Apartment size is 137 m2 with 3 bathrooms with a garden of 43 m2.,137,3,3,"20,082,000 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 3 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 178 m2 with 3 bathrooms.,178,3,3,"20,695,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 1 bedroom Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 101 m2 with 1 bathroom and a terrace of 7 m2.,101,1,1,"21,622,650 
              EGP"
6th settlement,"Apartment, Club residence",A 2 bedrooms Apartment in Club residence by Ora Developers. The Apartment size is 154 m2 with 2 bathrooms and a terrace of 14 m2.,154,2,2,"23,768,850 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 2 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 113 m2 with 2 bathrooms with a garden of 73 m2.,113,2,2,"24,874,000 
              EGP"
6th of October City,"Apartment, Lagoon Beach Park Mountain View I-City October",A 3 bedrooms Apartment in Lagoon Beach Park Mountain View I-City October by Mountain View. The Apartment size is 175 m2 with 3 bathrooms.,175,3,3,"26,388,608 
              EGP"
New Heliopolis,"Townhouse, Orchid",A 3 bedrooms Townhouse in Orchid by SODIC. The Townhouse size is 234 m2 with 4 bathrooms and a roof of 55 m2.,234,4,4,"27,482,000 
              EGP"
New Heliopolis,"Townhouse, Meadows-Sodic East",A 3 bedrooms Townhouse in Meadows-Sodic East by SODIC. The Townhouse size is 201 m2 with 4 bathrooms with a garden of 119 m2.,201,4,4,"27,719,000 
              EGP"
New Cairo,"Duplex, The Emerald Collection - Zed East",A 3 bedrooms Duplex in The Emerald Collection - Zed East  by Ora Developers. The Duplex size is 198 m2 with 3 bathrooms with a garden of 99 m2.,198,3,3,"28,155,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 4 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 275 m2 with 6 bathrooms.,275,6,6,"28,598,000 
              EGP"
October Gardens,"Villa, Jade Extension",A 4 bedrooms Villa in Jade Extension by Palm Hills Developments. The Villa size is 315 m2 with 6 bathrooms and a roof of 69 m2.,315,6,6,"29,429,000 
              EGP"
October Gardens,"Villa, District 2  - Ella Extension",A 4 bedrooms Villa in District 2  - Ella Extension  by Palm Hills Developments. The Villa size is 315 m2 with 6 bathrooms and a roof of 83 m2.,315,6,6,"29,459,000 
              EGP"
El Sheikh Zayed,"Apartment, Park Side Residences",A 3 bedrooms Apartment in Park Side Residences by Ora Developers. The Apartment size is 228 m2 with 3 bathrooms and a terrace of 27 m2.,228,3,3,"30,876,000 
              EGP"
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 2 bedrooms Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 158 m2 with 3 bathrooms and a terrace of 24 m2.,158,3,3,"32,249,000 
              EGP"
Sidi Heneish,"Duplex, Acclaro - Silversands",A 3 bedrooms Duplex in Acclaro - Silversands by Ora Developers. The Duplex size is 178 m2 with 3 bathrooms with a garden of 31 m2.,178,3,3,"33,166,000 
              EGP"
Ras El Hekma,"Twinhouse, Saltshore - Salt",A 3 bedrooms Twinhouse in Saltshore - Salt by Tatweer Misr. The Twinhouse size is 175 m2 with 4 bathrooms.,175,4,4,"35,554,000 
              EGP"
South New Cairo,"Office, Campus District 5",A  Office in Campus District 5 by Marakez. The Office size is 150 m2.,150,,,"36,985,000 
              EGP"
Golden Square,"Apartment, V Residences By Villette",A 3 bedrooms Apartment in V Residences By Villette by SODIC. The Apartment size is 199 m2 with 3 bathrooms.,199,3,3,"38,492,000 
              EGP"
Ras El Hekma,"Townhouse, Pearl-June",A 3 bedrooms Townhouse in Pearl-June by SODIC. The Townhouse size is 200 m2 with 3 bathrooms with a garden of 109 m2.,200,3,3,"39,585,000 
              EGP"
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 3 bedrooms Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 149 m2 with 2 bathrooms.,149,2,2,"43,493,000 
              EGP"
Sidi Heneish,"Twinhouse, Crystalline - Silversands",A 4 bedrooms Twinhouse in Crystalline - Silversands  by Ora Developers. The Twinhouse size is 202 m2 with 3 bathrooms and a terrace of 21 m2.,202,3,3,"52,030,000 
              EGP"
New Heliopolis,"Villa, Rosewood",A 5 bedrooms Villa in Rosewood by SODIC. The Villa size is 392 m2 with 6 bathrooms and a roof of 139 m2.,392,6,6,"56,500,000 
              EGP"
New Cairo,"Villa, MV Park - ICity New Cairo",A 4 bedrooms Villa in MV Park - ICity New Cairo by Mountain View. The Villa size is 340 m2 with 5 bathrooms with a garden of 312 m2.,340,5,5,"60,705,537 
              EGP"
New Heliopolis,"Villa, Hazel - Sodic East",A 4 bedrooms Villa in Hazel - Sodic East  by SODIC. The Villa size is 392 m2 with 5 bathrooms with a garden of 389 m2.,392,5,5,"62,860,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 5 bedrooms Villa in Opal-June by SODIC. The Villa size is 331 m2 with 6 bathrooms with a garden of 169 m2.,331,6,6,"89,483,000 
              EGP"
Ras El Hekma,"Penthouse, Hilltop Chalets - Solare",A 3 bedrooms Penthouse in Hilltop Chalets - Solare by Misr Italia Properties. The Penthouse size is 187 m2 with 2 bathrooms and a terrace of 56 m2.,187,2,2,"22,000,000 
              EGP"
October Gardens,"Villa, Green Valley",A 4 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 405 m2 with 7 bathrooms with a garden of 407 m2.,405,7,7,"62,490,000 
              EGP"
New Heliopolis,"Townhouse, Rosewood",A 3 bedrooms Townhouse in Rosewood by SODIC. The Townhouse size is 221 m2 with 4 bathrooms and a roof of 74 m2.,221,4,4,"30,600,000 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 3 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 188 m2 with 3 bathrooms.,188,3,3,"22,908,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 3 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 150 m2 with 3 bathrooms with a garden of 74 m2.,150,3,3,"10,000,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 130 m2 with 2 bathrooms with a garden of 108 m2.,130,2,2,"11,303,752 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 131 m2 with 3 bathrooms.,131,3,3,"11,605,522 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 125 m2 with 3 bathrooms with a garden of 50 m2.,125,3,3,"12,193,060 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 129 m2 with 3 bathrooms.,129,3,3,"12,841,000 
              EGP"
Ras El Hekma,"Cabin, Saltshore - Salt",A 1 bedroom Cabin in Saltshore - Salt by Tatweer Misr. The Cabin size is 65 m2 with 2 bathrooms.,65,2,2,"14,003,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 2 bedrooms Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 114 m2 with 3 bathrooms.,114,3,3,"14,125,000 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 2 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 181 m2 with 3 bathrooms.,181,3,3,"14,130,000 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 2 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 140 m2 with 2 bathrooms with a garden of 78 m2.,140,2,2,"14,704,323 
              EGP"
October Gardens,"Apartment, Core",A 3 bedrooms Apartment in Core by Orascom Development Egypt. The Apartment size is 173 m2 with 3 bathrooms.,173,3,3,"14,733,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 3 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 148 m2 with 3 bathrooms with a garden of 180 m2.,148,3,3,"14,836,000 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 134 m2 with 3 bathrooms.,134,3,3,"15,080,000 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 2 bedrooms Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 100 m2 with 2 bathrooms with a garden of 33 m2.,100,2,2,"16,615,000 
              EGP"
6th of October City,"Duplex, Lagoon Beach Park Mountain View I-City October",A 3 bedrooms Duplex in Lagoon Beach Park Mountain View I-City October by Mountain View. The Duplex size is 180 m2 with 3 bathrooms with a garden of 35 m2.,180,3,3,"17,328,047 
              EGP"
October Gardens,"Apartment, Midyard",A 3 bedrooms Apartment in Midyard by Orascom Development Egypt. The Apartment size is 153 m2 with 3 bathrooms.,153,3,3,"17,577,000 
              EGP"
October Gardens,"Townhouse, District 2  - Ella Extension",A 3 bedrooms Townhouse in District 2  - Ella Extension  by Palm Hills Developments. The Townhouse size is 190 m2 with 3 bathrooms.,190,3,3,"17,935,000 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 2 bedrooms Apartment in Plateau  District 5 by Marakez. The Apartment size is 131 m2 with 3 bathrooms and a roof of 17 m2.,131,3,3,"18,139,000 
              EGP"
October Gardens,"Townhouse, District 2 - Ella",A 3 bedrooms Townhouse in District 2 - Ella by Palm Hills Developments. The Townhouse size is 213 m2 with 4 bathrooms and a roof of 69 m2.,213,4,4,"18,557,000 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 87 m2.,87,,,"20,336,000 
              EGP"
El Sheikh Zayed,"Apartment, The Village Views",A 3 bedrooms Apartment in The Village Views by Ora Developers. The Apartment size is 176 m2 with 3 bathrooms and a terrace of 77 m2.,176,3,3,"21,249,000 
              EGP"
6th settlement,"Apartment, Club residence",A 2 bedrooms Apartment in Club residence by Ora Developers. The Apartment size is 141 m2 with 3 bathrooms with a garden of 66 m2.,141,3,3,"25,408,950 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 3 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 160 m2 with 2 bathrooms and a terrace of 41 m2.,160,2,2,"25,580,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 1 bedroom Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 140 m2 with 2 bathrooms and a terrace of 23 m2.,140,2,2,"26,813,850 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 3 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 156 m2 with 2 bathrooms and a roof of 52 m2.,156,2,2,"27,049,000 
              EGP"
Ras El Hekma,"Chalet, Pearl-June",A 3 bedrooms Chalet in Pearl-June by SODIC. The Chalet size is 145 m2 with 2 bathrooms.,145,2,2,"28,288,000 
              EGP"
October Gardens,"Villa, Jade Extension",A 4 bedrooms Villa in Jade Extension by Palm Hills Developments. The Villa size is 275 m2 with 6 bathrooms.,275,6,6,"30,013,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 4 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 315 m2 with 6 bathrooms and a roof of 83 m2.,315,6,6,"30,023,000 
              EGP"
New Cairo,"Duplex, The Emerald Collection - Zed East",A 3 bedrooms Duplex in The Emerald Collection - Zed East  by Ora Developers. The Duplex size is 230 m2 with 3 bathrooms and a roof of 145 m2.,230,3,3,"30,128,000 
              EGP"
New Heliopolis,"Townhouse, Hazel - Sodic East",A 3 bedrooms Townhouse in Hazel - Sodic East  by SODIC. The Townhouse size is 219 m2 with 4 bathrooms with a garden of 127 m2.,219,4,4,"30,774,000 
              EGP"
New Heliopolis,"Townhouse, Meadows-Sodic East",A 3 bedrooms Townhouse in Meadows-Sodic East by SODIC. The Townhouse size is 208 m2 with 4 bathrooms with a garden of 210 m2.,208,4,4,"31,610,000 
              EGP"
New Heliopolis,"Townhouse, Orchid",A 4 bedrooms Townhouse in Orchid by SODIC. The Townhouse size is 234 m2 with 4 bathrooms and a roof of 82 m2.,234,4,4,"31,742,000 
              EGP"
El Sheikh Zayed,"Apartment, Park Side Residences",A 3 bedrooms Apartment in Park Side Residences by Ora Developers. The Apartment size is 244 m2 with 3 bathrooms and a terrace of 43 m2.,244,3,3,"32,070,000 
              EGP"
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 2 bedrooms Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 131 m2 with 3 bathrooms with a garden of 62 m2.,131,3,3,"33,345,000 
              EGP"
Sidi Heneish,"Duplex, Acclaro - Silversands",A 3 bedrooms Duplex in Acclaro - Silversands by Ora Developers. The Duplex size is 186 m2 with 3 bathrooms with a garden of 34 m2.,186,3,3,"34,436,000 
              EGP"
South New Cairo,"Office, Campus District 5",A  Office in Campus District 5 by Marakez. The Office size is 182 m2.,182,,,"42,085,000 
              EGP"
Golden Square,"Apartment, V Residences By Villette",A 3 bedrooms Apartment in V Residences By Villette by SODIC. The Apartment size is 226 m2 with 3 bathrooms.,226,3,3,"43,920,000 
              EGP"
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 4 bedrooms Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 190 m2 with 4 bathrooms.,190,4,4,"56,728,000 
              EGP"
Sidi Heneish,"Twinhouse, Crystalline - Silversands",A 4 bedrooms Twinhouse in Crystalline - Silversands  by Ora Developers. The Twinhouse size is 307 m2 with 4 bathrooms and a terrace of 39 m2.,307,4,4,"71,878,000 
              EGP"
Ras El Hekma,"Villa, Opal-June",A 4 bedrooms Villa in Opal-June by SODIC. The Villa size is 254 m2 with 5 bathrooms with a garden of 59 m2.,254,5,5,"129,246,000 
              EGP"
Ras El Hekma,"Chalet, Hilltop Chalets - Solare",A 2 bedrooms Chalet in Hilltop Chalets - Solare by Misr Italia Properties. The Chalet size is 98 m2 with 2 bathrooms.,98,2,2,"11,000,000 
              EGP"
October Gardens,"Villa, Green Valley",A 5 bedrooms Villa in Green Valley by Orascom Development Egypt. The Villa size is 517 m2 with 5 bathrooms with a garden of 818 m2.,517,5,5,"99,519,000 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 140 m2 with 3 bathrooms with a garden of 85 m2.,140,3,3,"11,305,439 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 124 m2 with 3 bathrooms with a garden of 50 m2.,124,3,3,"12,046,400 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 3 bedrooms Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 150 m2 with 3 bathrooms.,175,3,3,"12,100,000 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 135 m2 with 3 bathrooms and a roof of 21 m2.,135,3,3,"12,606,366 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 129 m2 with 3 bathrooms with a garden of 79 m2.,129,3,3,"13,502,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 2 bedrooms Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 114 m2 with 3 bathrooms.,114,3,3,"14,482,000 
              EGP"
October Gardens,"Apartment, Core",A 3 bedrooms Apartment in Core by Orascom Development Egypt. The Apartment size is 180 m2 with 3 bathrooms.,180,3,3,"14,769,000 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 3 bedrooms Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 177 m2 with 3 bathrooms.,177,3,3,"14,880,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 3 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 137 m2 with 3 bathrooms with a garden of 176 m2.,137,3,3,"15,262,000 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 135 m2 with 3 bathrooms with a garden of 43 m2.,135,3,3,"15,350,000 
              EGP"
Ras El Hekma,"Loft, Saltshore - Salt",A 1 bedroom Loft in Saltshore - Salt by Tatweer Misr. The Loft size is 70 m2 with 2 bathrooms.,70,2,2,"16,154,000 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 3 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 145 m2 with 3 bathrooms with a garden of 29 m2.,145,3,3,"16,315,400 
              EGP"
6th of October City,"Duplex, Lagoon Beach Park Mountain View I-City October",A 3 bedrooms Duplex in Lagoon Beach Park Mountain View I-City October by Mountain View. The Duplex size is 205 m2 with 3 bathrooms.,205,3,3,"17,557,640 
              EGP"
October Gardens,"Townhouse, Jade Extension",A 3 bedrooms Townhouse in Jade Extension by Palm Hills Developments. The Townhouse size is 190 m2 with 3 bathrooms.,190,3,3,"17,943,000 
              EGP"
October Gardens,"Townhouse, District 2  - Ella Extension",A 3 bedrooms Townhouse in District 2  - Ella Extension  by Palm Hills Developments. The Townhouse size is 213 m2 with 4 bathrooms and a roof of 69 m2.,213,4,4,"18,556,000 
              EGP"
October Gardens,"Apartment, Midyard",A 3 bedrooms Apartment in Midyard by Orascom Development Egypt. The Apartment size is 169 m2 with 3 bathrooms.,169,3,3,"18,765,000 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 2 bedrooms Apartment in Plateau  District 5 by Marakez. The Apartment size is 124 m2 with 3 bathrooms with a garden of 118 m2.,124,3,3,"18,773,000 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 3 bedrooms Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 115 m2 with 2 bathrooms.,115,2,2,"18,775,000 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 99 m2.,99,,,"21,580,000 
              EGP"
El Sheikh Zayed,"Duplex, The Village Views",A 2 bedrooms Duplex in The Village Views by Ora Developers. The Duplex size is 182 m2 with 3 bathrooms and a terrace of 24 m2.,182,3,3,"22,292,000 
              EGP"
New Heliopolis,"Penthouse, Rosewood",A 3 bedrooms Penthouse in Rosewood by SODIC. The Penthouse size is 223 m2 with 4 bathrooms and a roof of 104 m2.,223,4,4,"23,062,000 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 2 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 132 m2 with 3 bathrooms with a garden of 71 m2.,132,3,3,"25,047,000 
              EGP"
Ras El Hekma,"Penthouse, Aquamarine-June",A 3 bedrooms Penthouse in Aquamarine-June by SODIC. The Penthouse size is 206 m2 with 3 bathrooms and a roof of 108 m2.,206,3,3,"26,873,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 2 bedrooms Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 131 m2 with 2 bathrooms and a terrace of 9 m2.,131,2,2,"28,059,150 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 3 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 175 m2 with 2 bathrooms and a terrace of 31 m2.,175,2,2,"28,745,000 
              EGP"
Sidi Heneish,"Penthouse, Acclaro - Silversands",A 2 bedrooms Penthouse in Acclaro - Silversands by Ora Developers. The Penthouse size is 153 m2 with 2 bathrooms and a roof of 40 m2.,153,2,2,"29,108,000 
              EGP"
New Cairo,"Penthouse, The Emerald Collection - Zed East",A 3 bedrooms Penthouse in The Emerald Collection - Zed East  by Ora Developers. The Penthouse size is 216 m2 with 3 bathrooms and a terrace of 20 m2.,216,3,3,"30,644,000 
              EGP"
6th settlement,"Apartment, Club residence",A 3 bedrooms Apartment in Club residence by Ora Developers. The Apartment size is 193 m2 with 3 bathrooms and a terrace of 14 m2.,193,3,3,"30,761,850 
              EGP"
Sidi Heneish,"Duplex, Crystalline - Silversands",A 3 bedrooms Duplex in Crystalline - Silversands  by Ora Developers. The Duplex size is 178 m2 with 3 bathrooms with a garden of 120 m2.,178,3,3,"33,845,000 
              EGP"
New Heliopolis,"Townhouse, Hazel - Sodic East",A 3 bedrooms Townhouse in Hazel - Sodic East  by SODIC. The Townhouse size is 221 m2 with 4 bathrooms with a garden of 354 m2.,221,4,4,"34,786,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 5 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 364 m2 with 8 bathrooms.,364,8,8,"36,248,000 
              EGP"
Sidi Heneish,"Branded Apartment, Branded Residences - Silversands",A 2 bedrooms Branded Apartment in Branded Residences - Silversands  by Ora Developers. The Branded Apartment size is 122 m2 with 3 bathrooms with a garden of 62 m2.,122,3,3,"36,747,000 
              EGP"
Ras El Hekma,"Chalet, Pearl-June",A 4 bedrooms Chalet in Pearl-June by SODIC. The Chalet size is 189 m2 with 4 bathrooms.,189,4,4,"37,493,000 
              EGP"
